Ky,Ngay,Time,Main,Special,DisplayLines,Label,SourceUrl,SourceDate
1491,01/04/2026,,"6,30,34,36,37,44",,06 30 34 36 37 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-01-04-2026.html,01/04/2026
1490,29/03/2026,,"5,8,18,30,37,45",,05 08 18 30 37 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-29-03-2026.html,29/03/2026
1489,27/03/2026,,"5,7,13,19,38,45",,05 07 13 19 38 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-27-03-2026.html,27/03/2026
1488,25/03/2026,,"16,22,24,29,35,36",,16 22 24 29 35 36,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-25-03-2026.html,25/03/2026
1487,22/03/2026,,"5,10,22,26,31,36",,05 10 22 26 31 36,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-22-03-2026.html,22/03/2026
1486,20/03/2026,,"8,11,22,23,38,43",,08 11 22 23 38 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-20-03-2026.html,20/03/2026
1485,18/03/2026,,"14,20,33,35,36,44",,14 20 33 35 36 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-18-03-2026.html,18/03/2026
1484,15/03/2026,,"4,7,11,26,42,44",,04 07 11 26 42 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-15-03-2026.html,15/03/2026
1483,13/03/2026,,"11,12,20,22,31,33",,11 12 20 22 31 33,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-13-03-2026.html,13/03/2026
1482,11/03/2026,,"16,18,19,28,31,44",,16 18 19 28 31 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-11-03-2026.html,11/03/2026
1481,08/03/2026,,"6,12,13,25,31,32",,06 12 13 25 31 32,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-08-03-2026.html,08/03/2026
1480,06/03/2026,,"2,10,12,21,32,37",,02 10 12 21 32 37,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-06-03-2026.html,06/03/2026
1479,04/03/2026,,"1,4,6,9,13,44",,01 04 06 09 13 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-04-03-2026.html,04/03/2026
1478,01/03/2026,,"16,22,23,35,44,45",,16 22 23 35 44 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-01-03-2026.html,01/03/2026
1477,27/02/2026,,"2,4,8,15,17,28",,02 04 08 15 17 28,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-27-02-2026.html,27/02/2026
1476,25/02/2026,,"4,13,20,22,23,29",,04 13 20 22 23 29,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-25-02-2026.html,25/02/2026
1475,22/02/2026,,"7,23,24,36,38,40",,07 23 24 36 38 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-22-02-2026.html,22/02/2026
1474,20/02/2026,,"4,25,28,33,34,45",,04 25 28 33 34 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-20-02-2026.html,20/02/2026
1473,18/02/2026,,"1,7,19,23,26,44",,01 07 19 23 26 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-18-02-2026.html,18/02/2026
1472,15/02/2026,,"4,6,7,20,28,43",,04 06 07 20 28 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-15-02-2026.html,15/02/2026
1471,13/02/2026,,"8,12,31,36,42,43",,08 12 31 36 42 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-13-02-2026.html,13/02/2026
1470,11/02/2026,,"15,20,35,40,44,45",,15 20 35 40 44 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-11-02-2026.html,11/02/2026
1469,08/02/2026,,"6,13,16,20,23,38",,06 13 16 20 23 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-08-02-2026.html,08/02/2026
1468,06/02/2026,,"2,7,13,17,42,45",,02 07 13 17 42 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-06-02-2026.html,06/02/2026
1467,04/02/2026,,"2,12,14,17,39,43",,02 12 14 17 39 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-04-02-2026.html,04/02/2026
1466,01/02/2026,,"1,18,21,23,30,36",,01 18 21 23 30 36,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-01-02-2026.html,01/02/2026
1465,30/01/2026,,"16,17,30,41,42,45",,16 17 30 41 42 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-30-01-2026.html,30/01/2026
1464,28/01/2026,,"4,10,16,19,27,40",,04 10 16 19 27 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-28-01-2026.html,28/01/2026
1463,25/01/2026,,"2,19,20,24,33,34",,02 19 20 24 33 34,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-25-01-2026.html,25/01/2026
1462,23/01/2026,,"9,15,16,20,22,31",,09 15 16 20 22 31,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-23-01-2026.html,23/01/2026
1461,21/01/2026,,"1,18,23,24,29,37",,01 18 23 24 29 37,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-21-01-2026.html,21/01/2026
1460,18/01/2026,,"2,5,15,26,39,42",,02 05 15 26 39 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-18-01-2026.html,18/01/2026
1459,16/01/2026,,"2,10,21,31,34,40",,02 10 21 31 34 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-16-01-2026.html,16/01/2026
1458,14/01/2026,,"1,22,23,28,39,45",,01 22 23 28 39 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-14-01-2026.html,14/01/2026
1457,11/01/2026,,"8,10,21,25,31,38",,08 10 21 25 31 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-11-01-2026.html,11/01/2026
1456,09/01/2026,,"8,9,17,21,36,45",,08 09 17 21 36 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-09-01-2026.html,09/01/2026
1455,07/01/2026,,"1,5,7,28,31,43",,01 05 07 28 31 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-07-01-2026.html,07/01/2026
1454,04/01/2026,,"2,12,21,29,35,44",,02 12 21 29 35 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-04-01-2026.html,04/01/2026
1453,02/01/2026,,"7,18,22,32,37,38",,07 18 22 32 37 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-02-01-2026.html,02/01/2026
1452,31/12/2025,,"1,25,35,36,37,45",,01 25 35 36 37 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-31-12-2025.html,31/12/2025
1451,28/12/2025,,"1,2,7,16,31,37",,01 02 07 16 31 37,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-28-12-2025.html,28/12/2025
1450,26/12/2025,,"4,6,16,25,27,40",,04 06 16 25 27 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-26-12-2025.html,26/12/2025
1449,24/12/2025,,"15,19,31,35,43,45",,15 19 31 35 43 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-24-12-2025.html,24/12/2025
1448,21/12/2025,,"6,9,12,18,29,43",,06 09 12 18 29 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-21-12-2025.html,21/12/2025
