rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
1,20,491,28,3,0.254272,0.1875,0.98465,0.279022,0.464981
2,64,481,26,4,0.249094,0.25,0.884434,0.281913,0.446441
3,77,486,22,10,0.251683,0.625,0.618544,0.276955,0.441459
4,9,501,27,3,0.259451,0.1875,0.895267,0.280639,0.440043
5,28,461,27,0,0.238736,0.0,1.0,0.27679,0.426979
6,52,486,18,14,0.251683,0.875,0.365746,0.277778,0.415784
7,73,496,17,16,0.256862,1.0,0.276363,0.274597,0.414887
8,61,478,26,1,0.24754,0.0625,0.892289,0.272385,0.408926
9,32,464,24,3,0.24029,0.1875,0.802546,0.285776,0.407506
10,70,463,26,0,0.239772,0.0,0.931564,0.272138,0.405828
11,71,519,23,7,0.268773,0.4375,0.595339,0.268979,0.400529
12,45,494,26,0,0.255826,0.0,0.850396,0.275304,0.386927
13,43,506,26,0,0.26204,0.0,0.818976,0.274704,0.379246
14,60,478,21,6,0.24754,0.375,0.576291,0.282008,0.378551
15,21,459,19,8,0.237701,0.5,0.49964,0.278431,0.376888
16,58,483,23,3,0.250129,0.1875,0.689599,0.282816,0.375982
17,36,485,21,6,0.251165,0.375,0.557963,0.288247,0.375388
18,31,495,22,5,0.256344,0.3125,0.594979,0.274343,0.372766
19,48,460,22,3,0.238219,0.1875,0.68662,0.276522,0.370256
20,35,465,24,0,0.240808,0.0,0.799928,0.28086,0.368393
21,8,508,24,2,0.263076,0.125,0.68734,0.277559,0.365637
22,6,468,24,0,0.242361,0.0,0.792073,0.276496,0.36563
23,19,492,22,4,0.25479,0.25,0.602834,0.280894,0.363466
24,69,484,24,0,0.250647,0.0,0.75018,0.278099,0.355868
25,38,490,24,0,0.253755,0.0,0.73447,0.277551,0.351978
26,67,484,23,1,0.250647,0.0625,0.68698,0.281405,0.350069
27,55,476,22,2,0.246504,0.125,0.644727,0.279412,0.348252
28,33,456,20,4,0.236147,0.25,0.570695,0.278509,0.347754
29,26,480,22,2,0.248576,0.125,0.634254,0.284583,0.346766
30,79,509,21,5,0.263594,0.3125,0.495123,0.274263,0.344968
31,37,484,17,9,0.250647,0.5625,0.307783,0.276446,0.335318
32,18,457,22,0,0.236665,0.0,0.694475,0.275274,0.334397
33,13,465,15,11,0.240808,0.6875,0.231132,0.273548,0.333792
34,16,450,16,8,0.23304,0.5,0.333606,0.280444,0.326083
35,1,474,22,0,0.245469,0.0,0.649964,0.283966,0.325423
36,17,486,21,2,0.251683,0.125,0.555345,0.279424,0.322993
37,23,469,21,1,0.242879,0.0625,0.599856,0.270789,0.319478
38,34,481,20,3,0.249094,0.1875,0.505237,0.276091,0.319017
39,53,485,22,0,0.251165,0.0,0.621163,0.283299,0.318358
40,41,474,19,4,0.245469,0.25,0.460365,0.276371,0.317024
41,4,487,20,3,0.252201,0.1875,0.489527,0.277618,0.315542
42,24,471,20,2,0.243915,0.125,0.53142,0.271762,0.311953
43,46,486,21,1,0.251683,0.0625,0.555345,0.274486,0.309505
44,80,497,22,0,0.25738,0.0,0.589743,0.272837,0.308704
45,47,489,20,2,0.253237,0.125,0.48429,0.281391,0.302536
46,5,504,21,1,0.261005,0.0625,0.508215,0.281746,0.299615
47,7,504,21,1,0.261005,0.0625,0.508215,0.279762,0.299218
48,68,486,21,0,0.251683,0.0,0.555345,0.274074,0.296923
49,56,470,19,2,0.243397,0.125,0.470839,0.285106,0.296292
50,27,498,20,2,0.257897,0.125,0.460725,0.276305,0.295848
51,42,489,21,0,0.253237,0.0,0.54749,0.275665,0.295351
52,54,509,17,7,0.263594,0.4375,0.242325,0.277407,0.294757
53,78,514,21,1,0.266183,0.0625,0.482032,0.277821,0.292529
54,44,508,18,5,0.263076,0.3125,0.308143,0.274803,0.288826
55,25,492,20,1,0.25479,0.0625,0.476435,0.280894,0.288046
56,15,482,17,5,0.249612,0.3125,0.31302,0.277593,0.286808
57,2,476,20,0,0.246504,0.0,0.518328,0.283613,0.286172
58,22,499,20,1,0.258415,0.0625,0.458107,0.283367,0.28413
59,65,481,18,3,0.249094,0.1875,0.378837,0.281913,0.282262
60,66,492,19,2,0.25479,0.125,0.413236,0.274797,0.280367
61,39,452,17,3,0.234076,0.1875,0.391569,0.270796,0.279353
62,57,449,13,8,0.232522,0.5,0.146626,0.28686,0.271116
63,49,488,19,1,0.252719,0.0625,0.423709,0.277459,0.27092
64,12,498,16,6,0.257897,0.375,0.207927,0.278313,0.27041
65,51,471,18,1,0.243915,0.0625,0.405021,0.27983,0.263147
66,29,467,17,2,0.241844,0.125,0.352294,0.284797,0.260201
67,76,479,17,2,0.248058,0.125,0.320875,0.281002,0.25188
68,30,489,18,1,0.253237,0.0625,0.357891,0.278528,0.251544
69,59,500,19,0,0.258933,0.0,0.392289,0.2744,0.250247
70,11,472,15,4,0.244433,0.25,0.212804,0.280508,0.243273
71,75,458,17,0,0.237183,0.0,0.375859,0.282533,0.240419
72,3,488,15,4,0.252719,0.25,0.170911,0.282787,0.233646
73,72,477,15,3,0.247022,0.1875,0.199712,0.283019,0.228124
74,50,507,17,1,0.262558,0.0625,0.247562,0.279684,0.221473
75,40,465,16,0,0.240808,0.0,0.294331,0.275699,0.215682
76,74,470,14,2,0.243397,0.125,0.154841,0.271064,0.198684
77,63,513,15,2,0.265665,0.125,0.105453,0.276413,0.191618
78,14,441,11,3,0.228379,0.1875,0.041173,0.2839,0.175146
79,10,474,13,0,0.245469,0.0,0.081168,0.278481,0.153687
80,62,505,13,0,0.261523,0.0,0.0,0.273267,0.13311
