rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
1,10,49,4,9,0.088288,0.157895,1.0,0.5,0.458065
2,8,46,3,5,0.082883,0.087719,0.75,0.5,0.367409
3,3,52,3,1,0.093694,0.017544,0.675466,0.5,0.334257
4,9,46,2,18,0.082883,0.315789,0.462733,0.5,0.326843
5,4,37,0,57,0.066667,1.0,0.0,0.5,0.32
6,12,49,2,7,0.088288,0.122807,0.425466,0.5,0.278688
7,2,46,2,4,0.082883,0.070175,0.462733,0.5,0.27772
8,6,39,1,22,0.07027,0.385965,0.262422,0.5,0.277001
9,11,51,2,8,0.091892,0.140351,0.400621,0.5,0.275824
10,5,44,2,0,0.079279,0.0,0.487578,0.5,0.270057
11,7,52,2,2,0.093694,0.035088,0.388199,0.5,0.251585
12,1,44,1,17,0.079279,0.298246,0.200311,0.5,0.243526
