rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
1,26,140,7,3,0.1059,0.1,0.968338,0.134286,0.369129
2,7,127,7,1,0.096067,0.033333,1.0,0.143307,0.364148
3,13,145,6,1,0.109682,0.033333,0.822001,0.137931,0.313758
4,43,160,6,0,0.121029,0.0,0.785468,0.14125,0.300199
5,46,148,3,17,0.111952,0.566667,0.412218,0.132432,0.297071
6,5,143,3,15,0.108169,0.5,0.424396,0.135664,0.286903
7,32,160,5,3,0.121029,0.1,0.651309,0.14,0.279701
8,54,136,4,6,0.102874,0.2,0.575604,0.15,0.273543
9,37,125,0,29,0.094554,0.966667,0.06576,0.1376,0.268947
10,23,151,0,30,0.114221,1.0,0.002436,0.129801,0.260957
11,31,145,4,5,0.109682,0.166667,0.553684,0.131034,0.25855
12,20,148,0,28,0.111952,0.933333,0.009742,0.144595,0.252094
13,51,165,3,11,0.124811,0.366667,0.370814,0.14303,0.250627
14,45,139,4,3,0.105144,0.1,0.568297,0.141007,0.250234
15,12,153,4,3,0.115734,0.1,0.534199,0.151634,0.245307
16,18,148,2,15,0.111952,0.5,0.27806,0.133784,0.24376
17,24,149,0,27,0.112708,0.9,0.007307,0.132886,0.242582
18,8,154,2,15,0.11649,0.5,0.263446,0.137662,0.241513
19,27,133,3,7,0.100605,0.233333,0.448752,0.138346,0.239143
20,55,148,3,8,0.111952,0.266667,0.412218,0.140541,0.238692
21,30,139,4,1,0.105144,0.033333,0.568297,0.141007,0.2369
22,2,127,1,18,0.096067,0.6,0.195048,0.127559,0.232846
23,16,137,4,0,0.103631,0.0,0.573168,0.143066,0.231653
24,50,135,3,6,0.102118,0.2,0.443881,0.133333,0.230466
25,36,135,3,5,0.102118,0.166667,0.443881,0.143704,0.225874
26,49,144,0,24,0.108926,0.8,0.019484,0.126389,0.223801
27,29,160,3,7,0.121029,0.233333,0.382992,0.12875,0.223623
28,11,152,0,24,0.114977,0.8,0.0,0.144737,0.223441
29,22,167,4,0,0.126324,0.0,0.500101,0.141317,0.216191
30,25,132,3,3,0.099849,0.1,0.451187,0.15,0.215311
31,53,150,3,4,0.113464,0.133333,0.407347,0.14,0.21091
32,1,147,3,4,0.111195,0.133333,0.414654,0.130612,0.210544
33,39,141,2,9,0.106657,0.3,0.295109,0.146099,0.209749
34,47,152,3,4,0.114977,0.133333,0.402476,0.132895,0.208482
35,28,119,2,6,0.090015,0.2,0.348691,0.152941,0.2022
36,41,166,2,10,0.125567,0.333333,0.23422,0.133735,0.20135
37,44,151,3,2,0.114221,0.066667,0.404912,0.141722,0.197417
38,3,154,3,2,0.11649,0.066667,0.397605,0.144156,0.196393
39,15,126,3,0,0.09531,0.0,0.465801,0.134921,0.195317
40,52,143,2,7,0.108169,0.233333,0.290237,0.141259,0.19444
41,21,142,3,1,0.107413,0.033333,0.426832,0.132394,0.193419
42,38,142,3,0,0.107413,0.0,0.426832,0.139437,0.188161
43,4,118,1,10,0.089259,0.333333,0.216968,0.132203,0.184975
44,14,137,1,11,0.103631,0.366667,0.170692,0.141606,0.183951
45,17,135,2,5,0.102118,0.166667,0.309722,0.128889,0.182663
46,35,136,1,11,0.102874,0.366667,0.173128,0.123529,0.18084
47,40,151,2,4,0.114221,0.133333,0.270753,0.13245,0.168649
48,19,141,2,3,0.106657,0.1,0.295109,0.134752,0.16748
49,10,138,2,2,0.104387,0.066667,0.302415,0.14058,0.16349
50,9,149,2,2,0.112708,0.066667,0.275624,0.147651,0.159363
51,34,162,2,2,0.122542,0.066667,0.243962,0.134568,0.150198
52,42,153,2,1,0.115734,0.033333,0.265882,0.141176,0.149387
53,48,155,2,0,0.117247,0.0,0.261011,0.140645,0.141606
54,6,128,1,4,0.096823,0.133333,0.192612,0.1375,0.140997
55,33,151,1,1,0.114221,0.033333,0.136594,0.143046,0.11052
