rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
1,114,50,5,1,0.047125,0.002,1.0,0.088,0.332138
2,768,27,4,6,0.025448,0.012,0.904053,0.155556,0.312361
3,378,15,0,500,0.014138,1.0,0.158341,0.2,0.291744
4,136,37,4,0,0.034873,0.0,0.858812,0.108108,0.289727
5,049,14,3,9,0.013195,0.018,0.762865,0.214286,0.279275
6,767,12,0,428,0.01131,0.856,0.171913,0.233333,0.272834
7,724,19,3,11,0.017908,0.022,0.740245,0.168421,0.26553
8,956,20,3,1,0.01885,0.002,0.735721,0.19,0.264771
9,082,20,3,7,0.01885,0.014,0.735721,0.15,0.259171
10,505,12,0,401,0.01131,0.802,0.171913,0.216667,0.2587
11,594,23,3,12,0.021678,0.024,0.722149,0.13913,0.255774
12,765,24,3,8,0.02262,0.016,0.717625,0.15,0.255274
13,686,22,3,0,0.020735,0.0,0.726673,0.145455,0.253313
14,314,22,3,2,0.020735,0.004,0.726673,0.136364,0.252295
15,169,28,3,9,0.02639,0.018,0.699529,0.15,0.251376
16,372,30,3,9,0.028275,0.018,0.690481,0.133333,0.245893
17,575,14,0,397,0.013195,0.794,0.162865,0.157143,0.243047
18,606,29,3,3,0.027333,0.006,0.695005,0.124138,0.242729
19,441,30,3,1,0.028275,0.002,0.690481,0.133333,0.242693
20,200,33,3,5,0.031103,0.01,0.676909,0.127273,0.239858
21,834,31,3,0,0.029218,0.0,0.685957,0.109677,0.236488
22,137,32,3,1,0.03016,0.002,0.681433,0.10625,0.235128
23,259,15,0,365,0.014138,0.73,0.158341,0.186667,0.235077
24,044,8,2,0,0.00754,0.0,0.590009,0.275,0.234265
25,239,35,3,0,0.032988,0.0,0.667861,0.114286,0.233112
26,978,15,0,345,0.014138,0.69,0.158341,0.2,0.229744
27,105,43,3,1,0.040528,0.002,0.631668,0.106977,0.223454
28,620,18,2,20,0.016965,0.04,0.544769,0.188889,0.214298
29,632,16,2,4,0.01508,0.008,0.553817,0.1875,0.209769
30,345,6,0,203,0.005655,0.406,0.199057,0.333333,0.20928
31,648,18,2,9,0.016965,0.018,0.544769,0.177778,0.207676
32,944,17,2,5,0.016023,0.01,0.549293,0.176471,0.206889
33,267,18,2,1,0.016965,0.002,0.544769,0.188889,0.206698
34,718,18,2,3,0.016965,0.006,0.544769,0.177778,0.205276
35,242,19,2,15,0.017908,0.03,0.540245,0.157895,0.205025
36,251,20,2,16,0.01885,0.032,0.535721,0.16,0.204771
37,288,20,2,21,0.01885,0.042,0.535721,0.15,0.204771
38,644,18,2,5,0.016965,0.01,0.544769,0.166667,0.203854
39,008,19,2,16,0.017908,0.032,0.540245,0.147368,0.203319
40,847,21,2,8,0.019793,0.016,0.531197,0.171429,0.202783
41,666,19,2,9,0.017908,0.018,0.540245,0.157895,0.202625
42,785,22,2,9,0.020735,0.018,0.526673,0.172727,0.202368
43,465,20,2,8,0.01885,0.016,0.535721,0.16,0.201571
44,556,17,0,309,0.016023,0.618,0.149293,0.141176,0.20143
45,443,20,2,7,0.01885,0.014,0.535721,0.16,0.201171
46,713,21,2,12,0.019793,0.024,0.531197,0.152381,0.200573
47,300,24,2,16,0.02262,0.032,0.517625,0.15,0.198474
48,736,23,2,14,0.021678,0.028,0.522149,0.147826,0.198313
49,515,23,2,12,0.021678,0.024,0.522149,0.13913,0.195774
50,041,24,2,7,0.02262,0.014,0.517625,0.15,0.194874
51,186,26,2,16,0.024505,0.032,0.508577,0.138462,0.194017
52,696,25,2,17,0.023563,0.034,0.513101,0.128,0.193399
53,968,23,2,6,0.021678,0.012,0.522149,0.13913,0.193374
54,979,22,2,0,0.020735,0.0,0.526673,0.145455,0.193313
55,564,23,2,10,0.021678,0.02,0.522149,0.130435,0.193235
56,844,23,2,4,0.021678,0.008,0.522149,0.13913,0.192574
57,369,27,2,10,0.025448,0.02,0.504053,0.148148,0.19248
58,980,24,2,11,0.02262,0.022,0.517625,0.125,0.191474
59,530,25,2,0,0.023563,0.0,0.513101,0.152,0.191399
60,822,26,2,13,0.024505,0.026,0.508577,0.130769,0.191278
61,966,28,2,6,0.02639,0.012,0.499529,0.15,0.190176
62,759,26,2,9,0.024505,0.018,0.508577,0.130769,0.189678
63,057,27,2,6,0.025448,0.012,0.504053,0.140741,0.189398
64,194,24,2,5,0.02262,0.01,0.517625,0.125,0.189074
65,499,25,2,2,0.023563,0.004,0.513101,0.136,0.188999
66,016,29,2,15,0.027333,0.03,0.495005,0.131034,0.188908
67,569,24,2,3,0.02262,0.006,0.517625,0.125,0.188274
68,557,28,2,8,0.02639,0.016,0.499529,0.135714,0.188119
69,668,15,0,246,0.014138,0.492,0.158341,0.186667,0.187477
70,154,31,2,21,0.029218,0.042,0.485957,0.122581,0.187468
71,621,27,2,1,0.025448,0.002,0.504053,0.140741,0.187398
72,399,13,0,232,0.012253,0.464,0.167389,0.2,0.186693
73,341,19,0,269,0.017908,0.538,0.140245,0.157895,0.186625
74,819,25,2,0,0.023563,0.0,0.513101,0.128,0.186599
75,596,26,2,3,0.024505,0.006,0.508577,0.123077,0.18574
76,525,30,2,4,0.028275,0.008,0.490481,0.14,0.185227
77,185,28,2,4,0.02639,0.008,0.499529,0.128571,0.18509
78,255,32,2,10,0.03016,0.02,0.481433,0.13125,0.183728
79,377,32,2,8,0.03016,0.016,0.481433,0.13125,0.182928
80,162,27,2,2,0.025448,0.004,0.504053,0.111111,0.181872
81,033,29,2,0,0.027333,0.0,0.495005,0.124138,0.181529
82,139,33,2,14,0.031103,0.028,0.476909,0.115152,0.181034
83,188,32,2,9,0.03016,0.018,0.481433,0.11875,0.180828
84,881,30,2,4,0.028275,0.008,0.490481,0.113333,0.179893
85,225,33,2,9,0.031103,0.018,0.476909,0.115152,0.179034
86,786,33,2,5,0.031103,0.01,0.476909,0.121212,0.178646
87,133,34,2,6,0.032045,0.012,0.472385,0.123529,0.178435
88,817,13,0,194,0.012253,0.388,0.167389,0.230769,0.177646
89,278,18,0,231,0.016965,0.462,0.144769,0.177778,0.176476
90,111,41,2,19,0.038643,0.038,0.440716,0.121951,0.175798
91,243,20,0,243,0.01885,0.486,0.135721,0.16,0.175571
92,373,12,0,175,0.01131,0.35,0.171913,0.25,0.174967
93,706,35,2,0,0.032988,0.0,0.467861,0.114286,0.173112
94,138,43,2,16,0.040528,0.032,0.431668,0.111628,0.170384
95,637,18,0,221,0.016965,0.442,0.144769,0.166667,0.170254
96,633,15,0,181,0.014138,0.362,0.158341,0.226667,0.169477
97,517,19,0,226,0.017908,0.452,0.140245,0.157895,0.169425
98,121,38,2,3,0.035815,0.006,0.454288,0.105263,0.169284
99,762,13,0,195,0.012253,0.39,0.167389,0.184615,0.168816
100,126,42,2,4,0.039585,0.008,0.436192,0.119048,0.168143
101,100,44,2,16,0.04147,0.032,0.427144,0.104545,0.167893
102,615,20,0,220,0.01885,0.44,0.135721,0.16,0.166371
103,858,12,0,178,0.01131,0.356,0.171913,0.2,0.166167
104,047,16,0,187,0.01508,0.374,0.153817,0.1875,0.162969
105,370,21,0,211,0.019793,0.422,0.131197,0.161905,0.162078
106,910,20,0,214,0.01885,0.428,0.135721,0.15,0.161971
107,948,12,1,17,0.01131,0.034,0.371913,0.2,0.161767
108,364,14,0,172,0.013195,0.344,0.162865,0.2,0.161618
109,994,14,1,22,0.013195,0.044,0.362865,0.2,0.161618
110,609,12,1,8,0.01131,0.016,0.371913,0.216667,0.1615
111,146,43,2,0,0.040528,0.0,0.431668,0.097674,0.161194
112,712,15,1,16,0.014138,0.032,0.358341,0.213333,0.16081
113,888,15,1,16,0.014138,0.032,0.358341,0.213333,0.16081
114,110,47,2,6,0.044298,0.012,0.413572,0.102128,0.160187
115,798,13,1,7,0.012253,0.014,0.367389,0.215385,0.159769
116,108,48,2,4,0.04524,0.008,0.409048,0.108333,0.159553
117,292,13,1,21,0.012253,0.042,0.367389,0.184615,0.159216
118,042,10,0,145,0.009425,0.29,0.180961,0.22,0.159116
119,907,15,1,8,0.014138,0.016,0.358341,0.213333,0.15761
120,090,17,1,14,0.016023,0.028,0.349293,0.211765,0.157548
121,823,15,1,12,0.014138,0.024,0.358341,0.2,0.156544
122,561,13,1,14,0.012253,0.028,0.367389,0.184615,0.156416
123,237,17,1,11,0.016023,0.022,0.349293,0.211765,0.156348
124,958,14,1,23,0.013195,0.046,0.362865,0.171429,0.156304
125,495,14,1,15,0.013195,0.03,0.362865,0.185714,0.155961
126,034,12,1,9,0.01131,0.018,0.371913,0.183333,0.155234
127,274,13,1,11,0.012253,0.022,0.367389,0.184615,0.155216
128,295,20,0,182,0.01885,0.364,0.135721,0.18,0.155171
129,354,17,1,19,0.016023,0.038,0.349293,0.188235,0.154842
130,125,51,2,7,0.048068,0.014,0.395476,0.094118,0.154687
131,876,19,1,18,0.017908,0.036,0.340245,0.2,0.154646
132,254,14,1,11,0.013195,0.022,0.362865,0.185714,0.154361
133,544,12,0,140,0.01131,0.28,0.171913,0.216667,0.1543
134,904,16,1,20,0.01508,0.04,0.353817,0.175,0.153669
135,853,15,0,168,0.014138,0.336,0.158341,0.173333,0.15361
136,286,17,1,9,0.016023,0.018,0.349293,0.2,0.153195
137,884,19,0,180,0.017908,0.36,0.140245,0.168421,0.15313
138,301,18,1,22,0.016965,0.044,0.344769,0.177778,0.152876
139,779,18,1,22,0.016965,0.044,0.344769,0.177778,0.152876
140,363,16,1,18,0.01508,0.036,0.353817,0.175,0.152869
141,813,14,1,7,0.013195,0.014,0.362865,0.185714,0.152761
142,097,16,1,5,0.01508,0.01,0.353817,0.2,0.152669
143,900,16,1,5,0.01508,0.01,0.353817,0.2,0.152669
144,926,16,1,11,0.01508,0.022,0.353817,0.1875,0.152569
145,282,11,0,141,0.010368,0.282,0.176437,0.2,0.152441
146,778,16,1,10,0.01508,0.02,0.353817,0.1875,0.152169
147,395,15,1,1,0.014138,0.002,0.358341,0.2,0.152144
148,064,14,1,5,0.013195,0.01,0.362865,0.185714,0.151961
149,932,14,0,140,0.013195,0.28,0.162865,0.214286,0.151675
150,787,16,1,15,0.01508,0.03,0.353817,0.175,0.151669
151,838,17,1,11,0.016023,0.022,0.349293,0.188235,0.151642
152,758,12,0,124,0.01131,0.248,0.171913,0.233333,0.151234
153,990,18,1,23,0.016965,0.046,0.344769,0.166667,0.151054
154,355,17,1,15,0.016023,0.03,0.349293,0.176471,0.150889
155,520,24,0,192,0.02262,0.384,0.117625,0.158333,0.15054
156,717,15,1,3,0.014138,0.006,0.358341,0.186667,0.150277
157,639,16,1,11,0.01508,0.022,0.353817,0.175,0.150069
158,598,17,1,6,0.016023,0.012,0.349293,0.188235,0.149642
159,738,12,0,145,0.01131,0.29,0.171913,0.183333,0.149634
160,975,22,1,22,0.020735,0.044,0.326673,0.181818,0.149386
161,582,18,1,13,0.016965,0.026,0.344769,0.177778,0.149276
162,693,16,0,152,0.01508,0.304,0.153817,0.1875,0.148969
163,308,18,1,12,0.016965,0.024,0.344769,0.177778,0.148876
164,390,23,1,18,0.021678,0.036,0.322149,0.191304,0.148609
165,684,20,1,15,0.01885,0.03,0.335721,0.18,0.148371
166,471,17,1,20,0.016023,0.04,0.349293,0.152941,0.148183
167,467,16,1,12,0.01508,0.024,0.353817,0.1625,0.147969
168,988,16,1,17,0.01508,0.034,0.353817,0.15,0.147469
169,708,19,1,21,0.017908,0.042,0.340245,0.157895,0.147425
170,645,17,1,18,0.016023,0.036,0.349293,0.152941,0.147383
171,760,21,1,19,0.019793,0.038,0.331197,0.171429,0.147183
172,563,20,1,22,0.01885,0.044,0.335721,0.16,0.147171
173,279,19,0,165,0.017908,0.33,0.140245,0.168421,0.14713
174,270,18,1,13,0.016965,0.026,0.344769,0.166667,0.147054
175,464,19,1,20,0.017908,0.04,0.340245,0.157895,0.147025
176,055,21,1,23,0.019793,0.046,0.331197,0.161905,0.146878
177,749,15,0,131,0.014138,0.262,0.158341,0.213333,0.14681
178,409,21,1,13,0.019793,0.026,0.331197,0.180952,0.146687
179,899,16,1,15,0.01508,0.03,0.353817,0.15,0.146669
180,623,16,0,146,0.01508,0.292,0.153817,0.1875,0.146569
181,316,17,1,4,0.016023,0.008,0.349293,0.176471,0.146489
182,825,21,1,22,0.019793,0.044,0.331197,0.161905,0.146478
183,591,20,1,15,0.01885,0.03,0.335721,0.17,0.146371
