rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
1,215,18,4,0,0.02546,0.0,1.0,0.144444,0.336527
2,600,12,3,9,0.016973,0.030201,0.812083,0.216667,0.29809
3,667,12,3,1,0.016973,0.003356,0.812083,0.183333,0.286055
4,851,14,3,7,0.019802,0.02349,0.796061,0.171429,0.283743
5,653,16,3,6,0.022631,0.020134,0.78004,0.1875,0.282328
6,644,16,3,0,0.022631,0.0,0.78004,0.2,0.280801
7,725,15,3,4,0.021216,0.013423,0.788051,0.173333,0.280131
8,592,14,3,1,0.019802,0.003356,0.796061,0.171429,0.279716
9,974,5,0,270,0.007072,0.90604,0.160214,0.24,0.279394
10,743,14,3,4,0.019802,0.013423,0.796061,0.157143,0.278872
11,695,9,0,285,0.01273,0.956376,0.128171,0.222222,0.27799
12,535,16,3,4,0.022631,0.013423,0.78004,0.1625,0.275986
13,028,11,0,298,0.015559,1.0,0.11215,0.181818,0.274676
14,734,19,3,12,0.026874,0.040268,0.756008,0.157895,0.274497
15,161,18,3,9,0.02546,0.030201,0.764019,0.155556,0.273995
16,096,15,3,1,0.021216,0.003356,0.788051,0.146667,0.272785
17,044,7,0,241,0.009901,0.808725,0.144192,0.314286,0.27083
18,173,19,3,1,0.026874,0.003356,0.756008,0.168421,0.26922
19,522,10,0,268,0.014144,0.899329,0.12016,0.2,0.260157
20,212,22,3,0,0.031117,0.0,0.731976,0.154545,0.259837
21,640,7,0,232,0.009901,0.778523,0.144192,0.285714,0.259076
22,683,10,0,245,0.014144,0.822148,0.12016,0.2,0.244721
23,519,12,0,243,0.016973,0.815436,0.104139,0.2,0.239421
24,800,7,0,202,0.009901,0.677852,0.144192,0.285714,0.238941
25,036,7,0,191,0.009901,0.64094,0.144192,0.314286,0.237273
26,947,5,0,179,0.007072,0.600671,0.160214,0.32,0.23432
27,428,11,2,13,0.015559,0.043624,0.584112,0.218182,0.232262
28,431,9,2,5,0.01273,0.016779,0.600134,0.222222,0.231659
29,094,3,0,120,0.004243,0.402685,0.176235,0.466667,0.228014
30,878,9,0,209,0.01273,0.701342,0.128171,0.222222,0.226983
31,963,13,2,13,0.018388,0.043624,0.568091,0.2,0.224668
32,545,12,2,10,0.016973,0.033557,0.576101,0.2,0.224634
33,030,11,0,223,0.015559,0.748322,0.11215,0.181818,0.224341
34,153,10,0,213,0.014144,0.714765,0.12016,0.2,0.223244
35,842,11,2,10,0.015559,0.033557,0.584112,0.181818,0.222976
36,187,13,2,15,0.018388,0.050336,0.568091,0.184615,0.222934
37,808,11,2,9,0.015559,0.030201,0.584112,0.181818,0.222305
38,890,12,0,221,0.016973,0.741611,0.104139,0.183333,0.221322
39,958,12,2,5,0.016973,0.016779,0.576101,0.2,0.221278
40,855,15,2,8,0.021216,0.026846,0.552069,0.213333,0.220022
41,037,13,2,15,0.018388,0.050336,0.568091,0.169231,0.219857
42,597,13,2,19,0.018388,0.063758,0.568091,0.153846,0.219464
43,870,5,0,133,0.007072,0.446309,0.160214,0.4,0.219447
44,993,13,2,5,0.018388,0.016779,0.568091,0.2,0.219299
45,676,8,0,186,0.011315,0.624161,0.136182,0.25,0.219081
46,887,5,0,156,0.007072,0.52349,0.160214,0.32,0.218884
47,352,14,2,3,0.019802,0.010067,0.56008,0.214286,0.218835
48,002,12,2,1,0.016973,0.003356,0.576101,0.2,0.218594
49,154,13,2,13,0.018388,0.043624,0.568091,0.169231,0.218514
50,244,16,0,233,0.022631,0.781879,0.072096,0.1625,0.217294
51,347,13,2,5,0.018388,0.016779,0.568091,0.184615,0.216222
52,596,3,0,122,0.004243,0.409396,0.176235,0.4,0.216023
53,461,12,2,1,0.016973,0.003356,0.576101,0.183333,0.21526
54,157,16,2,15,0.022631,0.050336,0.544059,0.175,0.215074
55,435,17,2,21,0.024045,0.07047,0.536048,0.164706,0.215063
56,780,13,2,3,0.018388,0.010067,0.568091,0.184615,0.21488
57,458,13,2,11,0.018388,0.036913,0.568091,0.153846,0.214095
58,439,12,2,3,0.016973,0.010067,0.576101,0.166667,0.213269
59,474,13,2,5,0.018388,0.016779,0.568091,0.169231,0.213145
60,408,13,2,0,0.018388,0.0,0.568091,0.184615,0.212867
61,039,15,2,9,0.021216,0.030201,0.552069,0.173333,0.212693
62,909,13,2,4,0.018388,0.013423,0.568091,0.169231,0.212474
63,178,14,2,2,0.019802,0.006711,0.56008,0.185714,0.21245
64,119,17,2,10,0.024045,0.033557,0.536048,0.188235,0.212386
65,051,8,0,161,0.011315,0.540268,0.136182,0.3,0.212303
66,401,15,2,12,0.021216,0.040268,0.552069,0.16,0.212039
