Kỳ,Thứ,Ngày,Giờ,Bộ Số,ĐB,Hiển thị,Loại,Link cập nhật,Ngày cập nhật
1491,Thứ 4,01/04/2026,,"6,30,34,36,37,44",,06 30 34 36 37 44,Mega_6/45,https://xsmn.net/kqxsvietlott/ngay-01-04-2026,01/04/2026
1490,Chủ Nhật,29/03/2026,,"5,8,18,30,37,45",,05 08 18 30 37 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-29-03-2026.html,29/03/2026
1489,Thứ 6,27/03/2026,,"5,7,13,19,38,45",,05 07 13 19 38 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-27-03-2026.html,27/03/2026
1488,Thứ 4,25/03/2026,,"16,22,24,29,35,36",,16 22 24 29 35 36,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-25-03-2026.html,25/03/2026
1487,Chủ Nhật,22/03/2026,,"5,10,22,26,31,36",,05 10 22 26 31 36,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-22-03-2026.html,22/03/2026
1486,Thứ 6,20/03/2026,,"8,11,22,23,38,43",,08 11 22 23 38 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-20-03-2026.html,20/03/2026
1485,Thứ 4,18/03/2026,,"14,20,33,35,36,44",,14 20 33 35 36 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-18-03-2026.html,18/03/2026
1484,Chủ Nhật,15/03/2026,,"4,7,11,26,42,44",,04 07 11 26 42 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-15-03-2026.html,15/03/2026
1483,Thứ 6,13/03/2026,,"11,12,20,22,31,33",,11 12 20 22 31 33,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-13-03-2026.html,13/03/2026
1482,Thứ 4,11/03/2026,,"16,18,19,28,31,44",,16 18 19 28 31 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-11-03-2026.html,11/03/2026
1481,Chủ Nhật,08/03/2026,,"6,12,13,25,31,32",,06 12 13 25 31 32,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-08-03-2026.html,08/03/2026
1480,Thứ 6,06/03/2026,,"2,10,12,21,32,37",,02 10 12 21 32 37,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-06-03-2026.html,06/03/2026
1479,Thứ 4,04/03/2026,,"1,4,6,9,13,44",,01 04 06 09 13 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-04-03-2026.html,04/03/2026
1478,Chủ Nhật,01/03/2026,,"16,22,23,35,44,45",,16 22 23 35 44 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-01-03-2026.html,01/03/2026
1477,Thứ 6,27/02/2026,,"2,4,8,15,17,28",,02 04 08 15 17 28,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-27-02-2026.html,27/02/2026
1476,Thứ 4,25/02/2026,,"4,13,20,22,23,29",,04 13 20 22 23 29,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-25-02-2026.html,25/02/2026
1475,Chủ Nhật,22/02/2026,,"7,23,24,36,38,40",,07 23 24 36 38 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-22-02-2026.html,22/02/2026
1474,Thứ 6,20/02/2026,,"4,25,28,33,34,45",,04 25 28 33 34 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-20-02-2026.html,20/02/2026
1473,Thứ 4,18/02/2026,,"1,7,19,23,26,44",,01 07 19 23 26 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-18-02-2026.html,18/02/2026
