Kỳ,Thứ,Ngày,Giờ,Bộ Số,ĐB,Hiển thị,Loại,Link cập nhật,Ngày cập nhật
1069,Thứ 2,20/04/2026,,,,Đặc biệt: 562 939 || Giải nhất: 121 769 584 381 980 || Giải nhì: 129 829 360 917 062 454 || Giải ba: 153 833 652 063 329 219 317 539 366,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-20-04-2026.html,20/04/2026
1068,Thứ 6,17/04/2026,,,,Đặc biệt: 968 946 || Giải nhất: 674 771 206 460 || Giải nhì: 102 616 363 356 111 541 623 || Giải ba: 171 599 629 865 124 399 266 643 159,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-17-04-2026.html,17/04/2026
1067,Thứ 4,15/04/2026,,,,Đặc biệt: 199 787 || Giải nhất: 987 800 615 715 || Giải nhì: 126 213 985 607 723 730 791 || Giải ba: 249 139 318 375 616 765 170 157,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-15-04-2026.html,15/04/2026
1066,Thứ 2,13/04/2026,,,,Đặc biệt: 977 915 || Giải nhất: 221 265 963 422 || Giải nhì: 121 796 529 360 223 852 449 || Giải ba: 103 172 125 434 546 865 488 436 449,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-13-04-2026.html,13/04/2026
1065,Thứ 6,10/04/2026,,,,Đặc biệt: 760 157 || Giải nhất: 429 690 706 626 || Giải nhì: 101 757 808 537 232 079 289 || Giải ba: 155 234 785 694 121 151 766 439 009,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-10-04-2026.html,10/04/2026
1064,Thứ 4,08/04/2026,,,,Đặc biệt: 865 063 || Giải nhất: 433 485 727 517 || Giải nhì: 408 557 758 972 958 823 || Giải ba: 612 776 995 223 591 198 597 653,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-08-04-2026.html,08/04/2026
1063,Thứ 2,06/04/2026,,,,Đặc biệt: 509 545 || Giải nhất: 034 808 016 831 || Giải nhì: 109 653 484 634 734 369 184 || Giải ba: 131 202 551 188 091 401 713 184 141,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-06-04-2026.html,06/04/2026
1062,Thứ 6,03/04/2026,,,,Đặc biệt: 138 031 || Giải nhất: 425 612 463 575 || Giải nhì: 654 703 368 464 977 931 || Giải ba: 127 823 848 698 337 529 460 150 707,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-03-04-2026.html,03/04/2026
1061,Thứ 4,01/04/2026,,,,Đặc biệt: 136 199 || Giải nhất: 530 706 146 746 || Giải nhì: 113 033 997 850 686 979 834 || Giải ba: 715 819 781 883 239 266 044 421,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-01-04-2026.html,01/04/2026
1060,Thứ 2,30/03/2026,,,,Đặc biệt: 269 442 || Giải nhất: 391 956 621 695 || Giải nhì: 105 886 395 902 911 137 309 || Giải ba: 114 441 661 226 165 846 911 474 267,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-30-03-2026.html,30/03/2026
1059,Thứ 6,27/03/2026,,,,Đặc biệt: 099 023 || Giải nhất: 498 811 017 739 || Giải nhì: 949 164 856 314 599 908 || Giải ba: 115 143 819 667 417 499 998 162 239,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-27-03-2026.html,27/03/2026
1058,Thứ 4,25/03/2026,,,,Đặc biệt: 686 317 || Giải nhất: 121 268 069 677 159 || Giải nhì: 717 241 718 304 432 256 || Giải ba: 396 284 777 596 606 662 569 849,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-25-03-2026.html,25/03/2026
1057,Thứ 2,23/03/2026,,,,Đặc biệt: 297 217 || Giải nhất: 525 632 303 126 || Giải nhì: 185 003 316 546 881 917 671 || Giải ba: 108 844 951 589 136 774 150 198 449,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-23-03-2026.html,23/03/2026
1056,Thứ 6,20/03/2026,,,,Đặc biệt: 543 156 || Giải nhất: 026 744 435 194 || Giải nhì: 786 167 877 097 944 900 || Giải ba: 877 753 064 521 702 200 407 644,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-20-03-2026.html,20/03/2026
1055,Thứ 4,18/03/2026,,,,Đặc biệt: 096 389 || Giải nhất: 683 525 569 598 || Giải nhì: 275 524 968 103 151 133 || Giải ba: 057 966 607 583 110 768 187 625,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-18-03-2026.html,18/03/2026
1054,Thứ 2,16/03/2026,,,,Đặc biệt: 968 041 || Giải nhất: 393 020 891 125 || Giải nhì: 881 443 082 621 721 039 || Giải ba: 148 617 397 276 646 798 965 813 314,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-16-03-2026.html,16/03/2026
1053,Thứ 6,13/03/2026,,,,Đặc biệt: 596 887 || Giải nhất: 112 847 358 224 328 || Giải nhì: 465 914 450 765 361 377 || Giải ba: 181 907 609 400 557 071 483 961,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-13-03-2026.html,13/03/2026
1052,Thứ 4,11/03/2026,,,,Đặc biệt: 114 768 648 || Giải nhất: 188 759 403 372 || Giải nhì: 318 169 034 666 622 765 || Giải ba: 108 049 427 655 691 225 286 172 785,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-11-03-2026.html,11/03/2026
1051,Thứ 2,09/03/2026,,,,Đặc biệt: 258 778 || Giải nhất: 833 082 104 255 || Giải nhì: 160 628 441 369 587 109 372 || Giải ba: 194 690 885 212 564 580 088 873,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-09-03-2026.html,09/03/2026
1050,Thứ 6,06/03/2026,,,,Đặc biệt: 281 084 || Giải nhất: 826 177 254 838 || Giải nhì: 956 122 208 966 572 237 || Giải ba: 121 639 926 666 925 724 298 980 274,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-06-03-2026.html,06/03/2026
1049,Thứ 4,04/03/2026,,,,Đặc biệt: 185 467 || Giải nhất: 102 459 074 713 195 || Giải nhì: 162 137 972 255 944 136 308 || Giải ba: 114 823 041 586 872 594 515 110 550,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-04-03-2026.html,04/03/2026
1048,Thứ 2,02/03/2026,,,,Đặc biệt: 409 718 || Giải nhất: 590 977 225 056 || Giải nhì: 107 125 676 697 686 822 012 || Giải ba: 146 606 105 979 406 270 582 576 273,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-02-03-2026.html,02/03/2026
1047,Thứ 6,27/02/2026,,,,Đặc biệt: 501 834 || Giải nhất: 664 561 694 043 || Giải nhì: 090 139 761 480 733 847 || Giải ba: 114 707 768 178 046 737 783 568 736,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-27-02-2026.html,27/02/2026
1046,Thứ 4,25/02/2026,,,,Đặc biệt: 787 651 || Giải nhất: 355 426 930 736 || Giải nhì: 952 495 016 169 591 549 || Giải ba: 506 941 228 899 684 242 509 564,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-25-02-2026.html,25/02/2026
1045,Thứ 2,23/02/2026,,,,Đặc biệt: 251 888 || Giải nhất: 105 369 372 507 138 || Giải nhì: 100 300 712 558 008 641 152 || Giải ba: 123 033 854 896 186 844 788 082 880,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-23-02-2026.html,23/02/2026
1044,Thứ 6,20/02/2026,,,,Đặc biệt: 188 038 || Giải nhất: 514 126 973 114 || Giải nhì: 809 956 412 988 366 441 || Giải ba: 948 696 794 768 176 704 515 940,Max 3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-20-02-2026.html,20/02/2026
1043,Thứ 4,18/02/2026,,,,Đặc biệt: 044 008 || Giải nhất: 724 014 223 706 || Giải nhì: 133 416 645 388 876 390 300 || Giải ba: 363 775 594 629 128 594 510 057,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-18-02-2026.html,18/02/2026
1042,Thứ 6,13/02/2026,,,,Đặc biệt: 859 111 || Giải nhất: 193 200 314 354 || Giải nhì: 101 499 499 466 765 644 || Giải ba: 760 782 577 118 222 120 557 648,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-13-02-2026.html,13/02/2026
1041,Thứ 4,11/02/2026,,,,Đặc biệt: 049 834 || Giải nhất: 785 834 138 491 || Giải nhì: 139 464 171 471 242 377 530 || Giải ba: 267 213 620 784 696 759 606 904,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-11-02-2026.html,11/02/2026
1040,Thứ 2,09/02/2026,,,,Đặc biệt: 292 786 || Giải nhất: 754 708 822 465 || Giải nhì: 100 632 154 529 292 547 415 || Giải ba: 149 620 137 713 288 552 239 680 251,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-09-02-2026.html,09/02/2026
1039,Thứ 6,06/02/2026,,,,Đặc biệt: 929 439 || Giải nhất: 703 030 154 362 || Giải nhì: 705 825 756 216 779 301 || Giải ba: 111 443 343 994 980 052 166 563 975,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-06-02-2026.html,06/02/2026
1038,Thứ 4,04/02/2026,,,,Đặc biệt: 536 016 || Giải nhất: 939 288 055 534 || Giải nhì: 136 990 147 890 594 958 049 || Giải ba: 119 344 200 124 724 004 169 186 484,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-04-02-2026.html,04/02/2026
1037,Thứ 2,02/02/2026,,,,Đặc biệt: 582 446 || Giải nhất: 106 202 039 013 226 || Giải nhì: 801 928 859 802 304 535 || Giải ba: 006 194 310 107 968 496 992 519,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-02-02-2026.html,02/02/2026
1036,Thứ 6,30/01/2026,,,,Đặc biệt: 675 811 || Giải nhất: 286 640 569 206 || Giải nhì: 729 467 949 894 962 476 || Giải ba: 183 266 036 673 131 468 675 157 383,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-30-01-2026.html,30/01/2026
1035,Thứ 4,28/01/2026,,,,Đặc biệt: 230 078 || Giải nhất: 458 495 512 327 || Giải nhì: 284 845 180 514 740 856 || Giải ba: 108 447 526 027 534 659 949 069 787,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-28-01-2026.html,28/01/2026
1034,Thứ 2,26/01/2026,,,,Đặc biệt: 387 105 || Giải nhất: 761 101 691 797 || Giải nhì: 228 757 159 887 317 665 || Giải ba: 523 953 890 667 784 618 057 482,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-26-01-2026.html,26/01/2026
1033,Thứ 6,23/01/2026,,,,Đặc biệt: 636 706 || Giải nhất: 634 492 253 671 || Giải nhì: 403 386 914 136 747 146 || Giải ba: 233 132 149 185 124 839 239 586 770,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-23-01-2026.html,23/01/2026
1032,Thứ 4,21/01/2026,,,,Đặc biệt: 329 543 || Giải nhất: 596 787 891 800 || Giải nhì: 115 819 213 206 550 621 253 || Giải ba: 944 613 750 052 138 233 549 670,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-21-01-2026.html,21/01/2026
1031,Thứ 2,19/01/2026,,,,Đặc biệt: 970 565 || Giải nhất: 027 874 783 830 || Giải nhì: 274 003 397 905 241 094 || Giải ba: 141 298 317 857 824 003 435 490 967,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-19-01-2026.html,19/01/2026
1030,Thứ 6,16/01/2026,,,,Đặc biệt: 281 783 || Giải nhất: 483 390 737 094 || Giải nhì: 456 913 375 285 095 574 || Giải ba: 189 262 087 011 221 016 416 033 134,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-16-01-2026.html,16/01/2026
1029,Thứ 4,14/01/2026,,,,Đặc biệt: 564 868 || Giải nhất: 479 129 469 619 || Giải nhì: 188 222 819 746 155 552 986 || Giải ba: 110 236 186 054 452 386 667 168 385,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-14-01-2026.html,14/01/2026
1028,Thứ 2,12/01/2026,,,,Đặc biệt: 215 039 || Giải nhất: 339 588 268 942 || Giải nhì: 714 714 277 155 660 394 || Giải ba: 145 757 987 734 288 350 885 108 770,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-12-01-2026.html,12/01/2026
1027,Thứ 6,09/01/2026,,,,Đặc biệt: 852 190 || Giải nhất: 250 008 296 153 || Giải nhì: 132 674 284 340 893 296 152 || Giải ba: 611 783 349 765 362 106 913 540,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-09-01-2026.html,09/01/2026
1026,Thứ 4,07/01/2026,,,,Đặc biệt: 454 459 || Giải nhất: 691 416 897 741 || Giải nhì: 868 965 785 869 872 207 || Giải ba: 103 269 945 606 403 071 958 476 171,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-07-01-2026.html,07/01/2026
1025,Thứ 2,05/01/2026,,,,Đặc biệt: 862 671 || Giải nhất: 006 651 760 747 || Giải nhì: 026 320 756 277 746 194 || Giải ba: 810 507 375 583 098 952 770 690,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-05-01-2026.html,05/01/2026
1024,Thứ 6,02/01/2026,,,,Đặc biệt: 344 808 || Giải nhất: 454 463 611 632 || Giải nhì: 948 946 203 918 124 943 || Giải ba: 156 008 534 724 223 315 603 679,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-02-01-2026.html,02/01/2026
1023,Thứ 4,31/12/2025,,,,Đặc biệt: 098 906 || Giải nhất: 903 722 209 638 || Giải nhì: 100 489 366 631 431 360 574 || Giải ba: 150 774 622 422 769 843 815 007 599,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-31-12-2025.html,31/12/2025
1022,Thứ 2,29/12/2025,,,,Đặc biệt: 401 220 || Giải nhất: 534 460 914 127 || Giải nhì: 063 632 607 919 036 297 || Giải ba: 116 690 815 639 664 158 138 554 323,Max_3D,https://www.minhchinh.com/xs-max-3d-ket-qua-max-3d-ngay-29-12-2025.html,29/12/2025
