Kỳ,Thứ,Ngày,Giờ,Bộ Số,ĐB,Hiển thị,Loại,Link cập nhật,Ngày cập nhật
710,Thứ 3,07/04/2026,,,,Đặc biệt: 913 525 || Giải nhất: 266 613 432 398 || Giải nhì: 544 778 048 658 111 898 || Giải ba: 282 376 380 792 221 232 328 621,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-07-04-2026.html,07/04/2026
709,Thứ 7,04/04/2026,,,,Đặc biệt: 847 801 || Giải nhất: 492 452 923 070 || Giải nhì: 754 794 100 909 727 696 || Giải ba: 094 579 062 053 769 493 566 038,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-04-04-2026.html,04/04/2026
708,Thứ 5,02/04/2026,,,,Đặc biệt: 594 747 || Giải nhất: 969 085 412 919 || Giải nhì: 463 885 115 200 115 217 || Giải ba: 146 936 532 340 937 430 308 114,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-02-04-2026.html,02/04/2026
707,Thứ 3,31/03/2026,,,,Đặc biệt: 987 537 || Giải nhất: 940 336 996 212 || Giải nhì: 168 925 124 882 408 241 || Giải ba: 644 215 656 046 231 858 611 525,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-31-03-2026.html,31/03/2026
706,Thứ 7,28/03/2026,,,,Đặc biệt: 096 219 || Giải nhất: 407 019 592 090 || Giải nhì: 598 810 667 628 817 002 || Giải ba: 625 166 173 461 902 915 423 093,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-28-03-2026.html,28/03/2026
705,Thứ 5,26/03/2026,,,,Đặc biệt: 466 417 || Giải nhất: 578 290 267 169 || Giải nhì: 178 215 559 960 533 619 || Giải ba: 399 867 197 546 054 305 621 008,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-26-03-2026.html,26/03/2026
704,Thứ 3,24/03/2026,,,,Đặc biệt: 917 186 || Giải nhất: 439 315 414 093 || Giải nhì: 164 471 721 780 910 096 || Giải ba: 666 078 352 971 503 873 865 406,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-24-03-2026.html,24/03/2026
703,Thứ 7,21/03/2026,,,,Đặc biệt: 178 794 || Giải nhất: 535 246 483 954 || Giải nhì: 994 667 209 797 743 759 || Giải ba: 725 711 860 026 609 925 561 909,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-21-03-2026.html,21/03/2026
702,Thứ 5,19/03/2026,,,,Đặc biệt: 474 877 || Giải nhất: 542 357 726 992 || Giải nhì: 704 334 598 993 431 347 || Giải ba: 958 011 686 793 916 290 045 911,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-19-03-2026.html,19/03/2026
701,Thứ 3,17/03/2026,,,,Đặc biệt: 990 993 || Giải nhất: 934 708 073 779 || Giải nhì: 930 678 653 644 118 794 || Giải ba: 363 736 330 977 592 558 090 986,Max 3D Pro,https://www.minhchinh.com/xs-max3d-pro-ket-qua-max3d-pro-ngay-17-03-2026.html,17/03/2026
