Ky,Ngay,Time,Main,Special,DisplayLines,Label,SourceUrl,SourceDate
1327,02/04/2026,,"9,21,32,34,52,53",22,09 21 32 34 52 53 | ĐB 22,Power_6/55,https://xsmn.net/kqxsvietlott/ngay-02-04-2026,02/04/2026
1326,31/03/2026,,"15,16,22,38,43,48",11,15 16 22 38 43 48 | ĐB 11,Power_6/55,https://xsmn.net/kqxsvietlott/ngay-31-03-2026,31/03/2026
1325,28/03/2026,,"7,13,21,30,33,42",39,07 13 21 30 33 42 | ĐB 39,Power_6/55,https://xsmn.net/kqxsvietlott/ngay-28-03-2026,28/03/2026
1324,26/03/2026,,"3,9,10,34,38,44",51,03 09 10 34 38 44 | ĐB 51,Power_6/55,https://xsmn.net/kqxsvietlott/ngay-26-03-2026,26/03/2026
1323,24/03/2026,,"12,19,25,26,32,45",3,12 19 25 26 32 45 | ĐB 03,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-24-03-2026.html,24/03/2026
1322,21/03/2026,,"1,6,40,43,47,53",3,01 06 40 43 47 53 | ĐB 03,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-21-03-2026.html,21/03/2026
1321,19/03/2026,,"7,9,17,31,34,36",55,07 09 17 31 34 36 | ĐB 55,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-19-03-2026.html,19/03/2026
1320,17/03/2026,,"12,26,28,43,50,54",52,12 26 28 43 50 54 | ĐB 52,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-17-03-2026.html,17/03/2026
1319,14/03/2026,,"7,16,27,29,47,52",26,07 16 27 29 47 52 | ĐB 26,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-14-03-2026.html,14/03/2026
1318,12/03/2026,,"12,28,36,40,53,55",54,12 28 36 40 53 55 | ĐB 54,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-12-03-2026.html,12/03/2026
