rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
1,58,2992,21,21,0.254184,1.0,0.549436,0.254211,0.491928
2,5,2979,28,4,0.25308,0.190476,0.932389,0.253575,0.444451
3,61,2942,29,0,0.249936,0.0,1.0,0.257444,0.42647
4,66,2925,28,1,0.248492,0.047619,0.952216,0.25559,0.420854
5,69,2937,27,1,0.249512,0.047619,0.893785,0.254818,0.403476
6,79,2998,26,1,0.254694,0.047619,0.817361,0.25557,0.382254
7,51,2965,26,0,0.25189,0.0,0.829478,0.255987,0.375608
8,27,2937,24,3,0.249512,0.142857,0.731708,0.255839,0.374105
9,57,2903,25,1,0.246623,0.047619,0.798217,0.254978,0.373971
10,45,2998,23,5,0.254694,0.238095,0.655284,0.253636,0.37134
11,68,2923,25,0,0.248322,0.0,0.790874,0.257954,0.36335
12,10,2959,24,2,0.251381,0.095238,0.72363,0.251571,0.361865
13,7,2960,21,7,0.251465,0.333333,0.561186,0.254054,0.361273
14,16,2867,22,4,0.243565,0.190476,0.649359,0.25511,0.356994
15,22,2922,24,1,0.248237,0.047619,0.737215,0.250308,0.355221
16,20,2990,24,1,0.254014,0.047619,0.712247,0.254916,0.350385
17,11,3011,21,6,0.255798,0.285714,0.54246,0.257987,0.348218
18,21,2923,20,7,0.248322,0.333333,0.520746,0.253028,0.347993
19,64,2940,24,0,0.249766,0.0,0.730606,0.255238,0.345159
20,15,2944,24,0,0.250106,0.0,0.729137,0.252989,0.344371
21,60,2988,23,2,0.253844,0.095238,0.658956,0.252343,0.343356
22,19,2967,24,0,0.25206,0.0,0.720692,0.257634,0.343353
23,25,2926,15,15,0.248577,0.714286,0.249516,0.253999,0.343085
24,62,3001,20,7,0.254949,0.333333,0.492106,0.254582,0.341699
25,39,2907,23,1,0.246963,0.047619,0.688697,0.254214,0.341065
26,44,2962,22,3,0.251635,0.142857,0.614477,0.256111,0.339627
27,41,2966,22,3,0.251975,0.142857,0.613008,0.257047,0.339476
28,33,2838,23,0,0.241101,0.0,0.714033,0.258562,0.338253
29,65,2974,23,1,0.252655,0.047619,0.664096,0.25575,0.335699
30,72,2943,21,4,0.250021,0.190476,0.567428,0.256949,0.33472
31,34,2932,23,0,0.249087,0.0,0.679518,0.25498,0.329577
32,63,2937,21,3,0.249512,0.142857,0.569631,0.254477,0.32521
33,47,2829,21,2,0.240336,0.095238,0.609286,0.254295,0.324793
34,31,3005,23,0,0.255288,0.0,0.652714,0.254975,0.323396
35,9,2990,21,3,0.254014,0.142857,0.55017,0.256254,0.321078
36,77,2966,19,6,0.251975,0.285714,0.450931,0.256844,0.319384
37,48,2871,22,0,0.243905,0.0,0.64789,0.256566,0.318852
38,74,2981,20,4,0.25325,0.190476,0.499449,0.253807,0.314666
39,46,2949,19,5,0.250531,0.238095,0.457173,0.25507,0.310944
40,29,2849,19,4,0.242036,0.190476,0.493891,0.256792,0.310232
41,30,2915,19,4,0.247643,0.190476,0.469657,0.254957,0.304277
42,71,3015,21,1,0.256138,0.047619,0.540991,0.251609,0.298984
43,13,2922,21,0,0.248237,0.0,0.575138,0.25332,0.297677
44,70,2894,19,3,0.245858,0.142857,0.477368,0.257429,0.297025
45,49,2939,21,0,0.249681,0.0,0.568896,0.254032,0.29638
46,23,2922,20,1,0.248237,0.047619,0.521113,0.256057,0.29154
47,50,3011,21,0,0.255798,0.0,0.54246,0.257124,0.290902
48,26,2963,19,3,0.25172,0.142857,0.452033,0.255282,0.290754
49,6,2960,20,1,0.251465,0.047619,0.50716,0.255338,0.288179
50,24,2925,18,4,0.248492,0.190476,0.41196,0.255863,0.287403
51,40,2928,19,2,0.248747,0.095238,0.464884,0.254235,0.283984
52,4,2914,20,0,0.247558,0.0,0.52405,0.254015,0.282285
53,53,2919,14,10,0.247982,0.47619,0.19806,0.256869,0.280425
54,35,2904,18,3,0.246708,0.142857,0.419671,0.255028,0.279491
55,38,2994,20,0,0.254354,0.0,0.494676,0.255043,0.275718
56,8,3025,19,2,0.256988,0.095238,0.429268,0.25362,0.275648
57,36,2928,19,1,0.248747,0.047619,0.464884,0.255464,0.274706
58,12,2993,18,3,0.254269,0.142857,0.386992,0.25573,0.272096
59,42,2981,19,1,0.25325,0.047619,0.445424,0.254747,0.270075
60,55,2912,18,2,0.247388,0.095238,0.416733,0.256662,0.269616
61,54,3014,19,1,0.256053,0.047619,0.433307,0.254678,0.267267
62,78,2944,15,7,0.250106,0.333333,0.242907,0.256454,0.265861
63,43,2936,16,5,0.249427,0.238095,0.29987,0.256608,0.263729
64,67,2904,17,3,0.246708,0.142857,0.365645,0.254614,0.2632
65,37,2950,19,0,0.250616,0.0,0.456806,0.253763,0.262979
66,1,2928,16,4,0.248747,0.190476,0.302807,0.253142,0.25419
67,32,2931,16,4,0.249002,0.190476,0.301706,0.253634,0.254034
68,14,2974,17,2,0.252655,0.095238,0.339943,0.254674,0.247762
69,80,2960,18,0,0.251465,0.0,0.399109,0.252905,0.245753
70,3,2943,16,3,0.250021,0.142857,0.297299,0.254774,0.243722
71,2,2903,15,4,0.246623,0.190476,0.257961,0.255391,0.240549
72,56,2922,17,0,0.248237,0.0,0.359036,0.2564,0.233462
73,76,2854,15,2,0.24246,0.095238,0.275953,0.256833,0.225938
74,17,2879,15,1,0.244584,0.047619,0.266773,0.252518,0.213435
75,73,2952,13,4,0.250786,0.190476,0.131918,0.254268,0.20376
76,28,2904,15,0,0.246708,0.0,0.257594,0.254821,0.202255
77,52,2899,12,4,0.246283,0.190476,0.097353,0.256364,0.192459
78,18,2922,12,3,0.248237,0.142857,0.088908,0.253662,0.180447
79,59,2924,13,0,0.248407,0.0,0.142199,0.253967,0.167975
80,75,3017,11,2,0.256308,0.095238,0.0,0.256679,0.147276
