rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
1,5,58,4,8,0.076517,0.296296,1.0,0.5,0.482214
2,3,67,4,1,0.088391,0.037037,0.931472,0.5,0.413366
3,10,64,2,19,0.084433,0.703704,0.47335,0.5,0.408076
4,2,62,2,12,0.081794,0.444444,0.488579,0.5,0.360001
5,7,65,2,11,0.085752,0.407407,0.465736,0.5,0.346928
6,8,63,0,27,0.083113,1.0,0.0,0.5,0.324934
7,4,59,2,6,0.077836,0.222222,0.511421,0.5,0.321222
8,6,61,2,5,0.080475,0.185185,0.496193,0.5,0.310037
9,9,65,2,3,0.085752,0.111111,0.465736,0.5,0.287669
10,12,67,2,0,0.088391,0.0,0.450508,0.5,0.261669
11,1,64,1,7,0.084433,0.259259,0.232868,0.5,0.247042
12,11,63,1,2,0.083113,0.074074,0.240482,0.5,0.211894
