rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
1,36,190,7,0,0.126667,0.0,1.0,0.152632,0.368526
2,35,207,7,2,0.138,0.035088,0.960875,0.150725,0.366825
3,44,219,6,10,0.146,0.175439,0.789413,0.155251,0.346762
4,22,212,6,4,0.141333,0.070175,0.805524,0.151887,0.32847
5,10,221,6,2,0.147333,0.035088,0.78481,0.142081,0.315077
6,23,205,5,7,0.136667,0.122807,0.677791,0.147317,0.298362
7,31,204,5,3,0.136,0.052632,0.680092,0.153922,0.286138
8,16,204,5,1,0.136,0.017544,0.680092,0.147059,0.277748
9,33,196,5,0,0.130667,0.0,0.698504,0.138776,0.276506
10,3,180,0,57,0.12,1.0,0.01611,0.142222,0.269278
11,12,183,3,18,0.122,0.315789,0.440736,0.145355,0.26105
12,38,173,4,3,0.115333,0.052632,0.607595,0.16763,0.260931
13,32,190,4,5,0.126667,0.087719,0.56847,0.147368,0.255558
14,8,200,4,6,0.133333,0.105263,0.545455,0.15,0.254689
15,5,210,4,7,0.14,0.122807,0.52244,0.141905,0.251674
16,11,203,4,5,0.135333,0.087719,0.53855,0.142857,0.24828
17,2,195,4,1,0.13,0.017544,0.556962,0.151795,0.239956
18,6,203,4,1,0.135333,0.017544,0.53855,0.15468,0.23661
19,42,195,4,0,0.13,0.0,0.556962,0.150769,0.236242
20,13,203,3,12,0.135333,0.210526,0.394707,0.15468,0.232053
21,45,198,3,11,0.132,0.192982,0.406214,0.157576,0.231576
22,7,220,4,2,0.146667,0.035088,0.499425,0.151818,0.231209
23,37,219,4,1,0.146,0.017544,0.501726,0.157078,0.229242
24,26,196,3,7,0.130667,0.122807,0.410817,0.153061,0.217619
25,4,212,3,9,0.141333,0.157895,0.373993,0.154717,0.21712
26,30,211,3,8,0.140667,0.140351,0.376295,0.148815,0.212922
27,1,200,3,3,0.133333,0.052632,0.401611,0.154,0.20181
28,19,219,3,3,0.146,0.052632,0.357883,0.147945,0.19128
29,41,198,3,0,0.132,0.0,0.406214,0.142424,0.189949
30,18,199,2,11,0.132667,0.192982,0.260069,0.161809,0.188779
31,20,211,3,0,0.140667,0.0,0.376295,0.151659,0.18542
32,9,188,2,8,0.125333,0.140351,0.285386,0.148936,0.181073
33,25,202,1,20,0.134667,0.350877,0.109321,0.157426,0.174857
34,24,219,2,9,0.146,0.157895,0.214039,0.156164,0.170824
35,14,186,1,16,0.124,0.280702,0.146145,0.149462,0.167076
36,21,189,2,4,0.126,0.070175,0.283084,0.146032,0.165967
37,43,191,2,4,0.127333,0.070175,0.278481,0.144503,0.16468
38,28,214,2,6,0.142667,0.105263,0.225547,0.143925,0.160302
39,15,185,2,1,0.123333,0.017544,0.29229,0.149189,0.158034
40,40,187,0,26,0.124667,0.45614,0.0,0.146524,0.157933
41,29,200,2,0,0.133333,0.0,0.257768,0.161,0.14953
42,34,198,1,10,0.132,0.175439,0.118527,0.152525,0.140751
43,39,184,1,5,0.122667,0.087719,0.150748,0.157609,0.13109
44,17,182,1,1,0.121333,0.017544,0.155351,0.146154,0.115745
45,27,199,1,2,0.132667,0.035088,0.116226,0.144724,0.11063
