rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
1,114,50,5,3,0.047037,0.005976,1.0,0.088,0.332906
2,768,27,4,8,0.0254,0.015936,0.900719,0.155556,0.312134
3,378,15,0,502,0.014111,1.0,0.130561,0.2,0.283402
4,767,12,0,430,0.011289,0.856574,0.14455,0.233333,0.264733
5,956,20,3,3,0.018815,0.005976,0.726831,0.19,0.262889
6,082,20,3,9,0.018815,0.017928,0.726831,0.15,0.257279
7,765,24,3,10,0.022578,0.01992,0.70818,0.15,0.253211
8,686,22,3,2,0.020696,0.003984,0.717505,0.145455,0.251348
9,505,12,0,403,0.011289,0.802789,0.14455,0.216667,0.250643
10,713,22,3,0,0.020696,0.0,0.717505,0.145455,0.250551
11,314,22,3,4,0.020696,0.007968,0.717505,0.136364,0.250327
12,369,28,3,0,0.026341,0.0,0.689528,0.15,0.244761
13,372,30,3,11,0.028222,0.021912,0.680202,0.133333,0.243576
14,606,29,3,5,0.027281,0.00996,0.684865,0.124138,0.240463
15,441,30,3,3,0.028222,0.005976,0.680202,0.133333,0.240389
16,834,31,3,2,0.029163,0.003984,0.675539,0.109677,0.234143
17,137,32,3,3,0.030103,0.005976,0.670876,0.10625,0.232739
18,188,33,3,0,0.031044,0.0,0.666213,0.115152,0.232208
19,044,8,2,2,0.007526,0.003984,0.576258,0.275,0.230932
20,239,35,3,2,0.032926,0.003984,0.656888,0.114286,0.230598
21,136,37,3,2,0.034807,0.003984,0.647562,0.108108,0.227129
22,259,15,0,367,0.014111,0.731076,0.130561,0.186667,0.22695
23,978,15,0,347,0.014111,0.691235,0.130561,0.2,0.221649
24,105,43,3,3,0.040452,0.005976,0.619584,0.106977,0.220601
25,138,44,3,1,0.041392,0.001992,0.614921,0.113636,0.22002
26,049,14,2,11,0.01317,0.021912,0.548281,0.214286,0.215675
27,620,18,2,22,0.016933,0.043825,0.529629,0.188889,0.210511
28,632,16,2,6,0.015052,0.011952,0.538955,0.1875,0.206092
29,823,16,2,1,0.015052,0.001992,0.538955,0.1875,0.2041
30,648,18,2,11,0.016933,0.021912,0.529629,0.177778,0.203907
31,034,13,2,0,0.01223,0.0,0.552943,0.169231,0.203398
32,944,17,2,7,0.015992,0.013944,0.534292,0.176471,0.203168
33,267,18,2,3,0.016933,0.005976,0.529629,0.188889,0.202942
34,345,6,0,205,0.005644,0.408367,0.172528,0.333333,0.201792
35,724,19,2,13,0.017874,0.025896,0.524966,0.168421,0.201715
36,718,18,2,5,0.016933,0.00996,0.529629,0.177778,0.201516
37,242,19,2,17,0.017874,0.033865,0.524966,0.157895,0.201204
38,251,20,2,18,0.018815,0.035857,0.520303,0.16,0.200907
39,644,18,2,7,0.016933,0.013944,0.529629,0.166667,0.200091
40,008,19,2,18,0.017874,0.035857,0.524966,0.147368,0.199497
41,847,21,2,10,0.019755,0.01992,0.51564,0.171429,0.198888
42,666,19,2,11,0.017874,0.021912,0.524966,0.157895,0.198813
43,785,22,2,11,0.020696,0.021912,0.510977,0.172727,0.19843
44,465,20,2,10,0.018815,0.01992,0.520303,0.16,0.197719
45,300,24,2,18,0.022578,0.035857,0.501651,0.15,0.19444
46,736,23,2,16,0.021637,0.031873,0.506314,0.147826,0.194325
47,556,17,0,311,0.015992,0.619522,0.121236,0.141176,0.193308
48,464,20,2,1,0.018815,0.001992,0.520303,0.15,0.192134
49,515,23,2,14,0.021637,0.027888,0.506314,0.13913,0.191789
50,594,23,2,14,0.021637,0.027888,0.506314,0.13913,0.191789
