rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
1,215,18,4,3,0.025352,0.009967,1.0,0.144444,0.338488
2,600,12,3,12,0.016901,0.039867,0.811835,0.216667,0.299928
3,667,12,3,4,0.016901,0.013289,0.811835,0.183333,0.287945
4,851,14,3,10,0.019718,0.033223,0.795878,0.171429,0.285609
5,644,16,3,3,0.022535,0.009967,0.77992,0.2,0.28273
6,725,15,3,7,0.021127,0.023256,0.787899,0.173333,0.282026
7,592,14,3,4,0.019718,0.013289,0.795878,0.171429,0.281622
8,743,14,3,7,0.019718,0.023256,0.795878,0.157143,0.280759
9,974,5,0,273,0.007042,0.906977,0.159574,0.24,0.27938
10,695,9,0,288,0.012676,0.956811,0.12766,0.222222,0.277907
11,535,16,3,7,0.022535,0.023256,0.77992,0.1625,0.277888
12,909,14,3,1,0.019718,0.003322,0.795878,0.157143,0.276772
13,734,19,3,15,0.026761,0.049834,0.755984,0.157895,0.276369
14,028,11,0,301,0.015493,1.0,0.111702,0.181818,0.274522
15,621,14,3,0,0.019718,0.0,0.795878,0.142857,0.27325
16,173,19,3,4,0.026761,0.013289,0.755984,0.168421,0.271165
17,044,7,0,244,0.009859,0.810631,0.143617,0.314286,0.271026
18,212,22,3,3,0.030986,0.009967,0.732048,0.154545,0.261813
19,794,20,3,1,0.028169,0.003322,0.748005,0.14,0.261517
20,522,10,0,271,0.014085,0.900332,0.119681,0.2,0.260196
21,640,7,0,235,0.009859,0.780731,0.143617,0.285714,0.259332
22,683,10,0,248,0.014085,0.82392,0.119681,0.2,0.244914
23,519,12,0,246,0.016901,0.817276,0.103723,0.2,0.239643
24,800,7,0,205,0.009859,0.681063,0.143617,0.285714,0.239398
25,036,7,0,194,0.009859,0.644518,0.143617,0.314286,0.237804
26,947,5,0,182,0.007042,0.604651,0.159574,0.32,0.234915
27,428,11,2,16,0.015493,0.053156,0.583777,0.218182,0.234048
28,878,9,0,212,0.012676,0.704319,0.12766,0.222222,0.227409
29,963,13,2,16,0.01831,0.053156,0.567819,0.2,0.22647
30,545,12,2,13,0.016901,0.043189,0.575798,0.2,0.226448
31,613,10,2,0,0.014085,0.0,0.591755,0.22,0.225752
32,187,13,2,18,0.01831,0.059801,0.567819,0.184615,0.224722
33,030,11,0,226,0.015493,0.750831,0.111702,0.181818,0.224688
34,808,11,2,12,0.015493,0.039867,0.583777,0.181818,0.224118
35,153,10,0,216,0.014085,0.717608,0.119681,0.2,0.223651
36,890,12,0,224,0.016901,0.744186,0.103723,0.183333,0.221691
37,037,13,2,18,0.01831,0.059801,0.567819,0.169231,0.221645
38,993,13,2,8,0.01831,0.026578,0.567819,0.2,0.221154
39,352,14,2,6,0.019718,0.019934,0.55984,0.214286,0.220711
